"","X","Hyst_index","HI_ymin","HI_ymax","site.ID","storm.ID","month.x","day.x","response_var","Flush_index","FI_ymin","FI_ymax","month.y","day.y","Parameter","Coefficient","SE","CI","CI_low","CI_high","t","df_error","p"
"91",91,0.910634154601645,0.872237744475489,0.937727542121755,"STRT","storm1a",8,15,"SPC",-0.9489,-0.9503,-0.9482,8,15,"Q.norm",0.528471181798268,0.0763351397350875,0.95,0.377406184363685,0.679536179232852,6.92303942368178,126,2.00568920866117e-10
"92",92,-0.175429261340652,-0.19031571479248,-0.147504714251041,"STRT","storm1a",8,15,"turb",0.3976,0.3741,0.4208,8,15,"Q.norm",1.59426681368841,0.0540354185331063,0.95,1.48733230894513,1.70120131843169,29.5041078049879,126,1.99178012674968e-58
"93",93,-0.547869124981114,-0.688642889526982,-0.380837237418773,"STRT","storm1b",8,17,"NO3",0.5129,0.5054,0.5207,8,17,"Q.norm",1.79129484867849,0.142049268494354,0.95,1.50229343893524,2.08029625842174,12.610377143545,33,3.61412746870446e-14
"94",94,-0.311918597699504,-0.513050912308398,-0.247554822201503,"STRT","storm1b",8,17,"fDOM",0.3454,0.3429,0.3486,8,17,NA,NA,NA,NA,NA,NA,NA,NA,NA
"95",95,-0.355320844958154,-0.481267437225977,-0.233060980470328,"STRT","storm1b",8,17,"SPC",0.2419,0.2397,0.244,8,17,"Q.norm",0.0800808408206685,0.116537952088966,0.95,-0.157017405437751,0.317179087079088,0.687165334427142,33,0.496779746986671
"96",96,0.138548050090449,0.0901251793785905,0.147812632927131,"STRT","storm1b",8,17,"turb",-0.0626,-0.078,-0.0435,8,17,"Q.norm",-1.30537003637949,0.715235532345739,0.95,-2.76052766821621,0.149787595457238,-1.82509114458883,33,0.0770506603277799
"97",97,0.793733243967821,0.737935656836453,0.845844504021448,"STRT","storm2a",8,19,"NO3",NA,NA,NA,8,19,"Q.norm",-0.956995829655314,0.0812118175414892,0.95,-1.11955894474733,-0.794432714563303,-11.7839479354887,58,5.01098259918366e-17
"98",98,0.162160218610671,0.142096936574139,0.23238170573853,"STRT","storm2a",8,19,"fDOM",NA,NA,NA,8,19,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",99,0.418067226890756,0.315126050420169,0.445378151260506,"STRT","storm2a",8,19,"SPC",NA,NA,NA,8,19,"Q.norm",1.35535430974838,0.0899419373884951,0.95,1.1748726084467,1.53583601105006,15.0692140852388,52,1.29387762588108e-20
"100",100,-0.214472700074794,-0.233358264771877,-0.191676015956119,"STRT","storm2a",8,19,"turb",NA,NA,NA,8,19,"Q.norm",0.461500880918577,0.0374867199872642,0.95,0.386490127484372,0.536511634352781,12.3110499151531,59,6.07807512768887e-18
"101",101,0.253839662447253,-0.0275105485232125,0.363966244725748,"STRT","storm2b",8,20,"NO3",-0.5631,-0.5745,-0.5526,8,20,"Q.norm",-1.79408726155071,0.0998017773693398,0.95,-1.99352519948349,-1.59464932361793,-17.9765061188367,63,1.71463470997343e-26
"102",102,-0.268002893565908,-0.382537602707944,-0.187378866049738,"STRT","storm2b",8,20,"fDOM",0.0239,0.0224,0.026,8,20,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",103,0.534035779260189,0.403577926015787,0.656003638568834,"STRT","storm2b",8,20,"SPC",-0.7961,-0.7993,-0.7928,8,20,"Q.norm",-0.830499943777449,0.125167915885464,0.95,-1.0806280647142,-0.5803718228407,-6.6350864588766,63,8.60725355230607e-09
"104",104,-0.174207715725907,-0.391251185307182,-0.0622648101013131,"STRT","storm2b",8,20,"turb",0.2059,0.1897,0.2335,8,20,"Q.norm",1.06808213565636,0.0526074936301001,0.95,0.962986585592182,1.17317768572054,20.3028515892885,64,1.36712410551286e-29
